"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/27/2024","AQS","060010009","1","0.5","ppm","6","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/28/2024","AQS","060010009","1","0.8","ppm","9","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/29/2024","AQS","060010009","1","0.9","ppm","10","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/30/2024","AQS","060010009","1","0.7","ppm","8","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/31/2024","AQS","060010009","1","0.5","ppm","6","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/01/2024","AQS","060010009","1","0.5","ppm","6","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/02/2024","AQS","060010009","1","0.5","ppm","6","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/03/2024","AQS","060010009","1","0.5","ppm","6","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/04/2024","AQS","060010009","1","0.4","ppm","5","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/05/2024","AQS","060010009","1","0.5","ppm","6","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/06/2024","AQS","060010009","1","0.6","ppm","7","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/07/2024","AQS","060010009","1","0.6","ppm","7","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/08/2024","AQS","060010009","1","0.6","ppm","7","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/09/2024","AQS","060010009","1","0.6","ppm","7","Oakland","6","25.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/13/2024","AQS","060010009","1","0.7","ppm","8","Oakland","14","58.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/14/2024","AQS","060010009","1","0.6","ppm","7","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/15/2024","AQS","060010009","1","0.5","ppm","6","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/16/2024","AQS","060010009","1","0.7","ppm","8","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/17/2024","AQS","060010009","1","0.7","ppm","8","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/18/2024","AQS","060010009","1","0.5","ppm","6","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/19/2024","AQS","060010009","1","0.4","ppm","5","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/20/2024","AQS","060010009","1","0.6","ppm","7","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/21/2024","AQS","060010009","1","0.6","ppm","7","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/22/2024","AQS","060010009","1","0.5","ppm","6","Oakland","17","71.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/23/2024","AQS","060010009","1","0.3","ppm","3","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/24/2024","AQS","060010009","1","0.3","ppm","3","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/25/2024","AQS","060010009","1","0.3","ppm","3","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/26/2024","AQS","060010009","1","0.2","ppm","2","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/27/2024","AQS","060010009","1","0.4","ppm","5","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/28/2024","AQS","060010009","1","0.3","ppm","3","Oakland","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/29/2024","AQS","060010009","1","0.1","ppm","1","Oakland","16","67.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"03/01/2024","AQS","060010009","1","0.1","ppm","1","Oakland","2","8.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/01/2024","AQS","060010011","1","1.3","ppm","15","Oakland West","18","75.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/02/2024","AQS","060010011","1","1.4","ppm","16","Oakland West","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/03/2024","AQS","060010011","1","0.7","ppm","8","Oakland West","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/04/2024","AQS","060010011","1","0.9","ppm","10","Oakland West","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/05/2024","AQS","060010011","1","1.4","ppm","16","Oakland West","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/06/2024","AQS","060010011","1","1.7","ppm","19","Oakland West","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/07/2024","AQS","060010011","1","0.7","ppm","8","Oakland West","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/08/2024","AQS","060010011","1","0.8","ppm","9","Oakland West","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/09/2024","AQS","060010011","1","0.8","ppm","9","Oakland West","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/10/2024","AQS","060010011","1","0.7","ppm","8","Oakland West","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/11/2024","AQS","060010011","1","1","ppm","11","Oakland West","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/12/2024","AQS","060010011","1","1.1","ppm","13","Oakland West","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/13/2024","AQS","060010011","1","0.9","ppm","10","Oakland West","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/14/2024","AQS","060010011","1","0.8","ppm","9","Oakland West","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/15/2024","AQS","060010011","1","1.1","ppm","13","Oakland West","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/16/2024","AQS","060010011","1","1.3","ppm","15","Oakland West","17","71.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/17/2024","AQS","060010011","1","0.7","ppm","8","Oakland West","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/18/2024","AQS","060010011","1","1","ppm","11","Oakland West","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/19/2024","AQS","060010011","1","0.6","ppm","7","Oakland West","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/20/2024","AQS","060010011","1","0.4","ppm","5","Oakland West","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/21/2024","AQS","060010011","1","0.4","ppm","5","Oakland West","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/22/2024","AQS","060010011","1","0.5","ppm","6","Oakland West","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/23/2024","AQS","060010011","1","0.5","ppm","6","Oakland West","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/24/2024","AQS","060010011","1","0.4","ppm","5","Oakland West","24","100.0000","42101","Carbon monoxide","054","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
